Epoch,TP,TN,FP,FN
1,710007,123270399,460210,3966692
2,2262769,123000785,729824,2413930
3,3035388,121838155,1892454,1641311
4,3111525,122987770,742839,1565174
5,3287192,122848760,881849,1389507
6,3420630,122881275,849334,1256069
7,3356061,123292444,438165,1320638
8,3568844,122457678,1272931,1107855
9,3136010,123465449,265160,1540689
10,3546062,123339341,391268,1130637
11,3601959,123101653,628956,1074740
12,3499308,123334792,395817,1177391
13,3694559,123368097,362512,982140
14,3771495,123187515,543094,905204
15,3529334,123477054,253555,1147365
16,3672497,123262804,467805,1004202
17,4007525,123008758,721851,669174
18,3950007,123003394,727215,726692
19,3738465,123367496,363113,938234
20,3634624,123429186,301423,1042075
21,3696711,123401645,328964,979988
22,3994405,123141775,588834,682294
23,3805251,123450942,279667,871448
24,3722429,123461115,269494,954270
25,3895884,123321478,409131,780815
26,3926491,123279036,451573,750208
27,4021882,123157840,572769,654817
28,3959674,123345112,385497,717025
29,3853673,123348986,381623,823026
30,3907243,123442676,287933,769456
31,4075834,123267770,462839,600865
32,4172425,122946163,784446,504274
33,3937388,123436819,293790,739311
34,4037452,123225329,505280,639247
35,3993932,123374663,355946,682767
36,3936077,123447348,283261,740622
37,4080132,123183056,547553,596567
38,3964747,123375221,355388,711952
39,3999659,123310793,419816,677040
40,4022222,123353577,377032,654477
41,4054098,123338049,392560,622601
42,4049618,123368505,362104,627081
43,4071283,123310306,420303,605416
44,4120413,123271663,458946,556286
45,4054627,123338853,391756,622072
46,4072306,123366654,363955,604393
47,4060578,123363454,367155,616121
48,4022887,123351574,379035,653812
49,4087605,123356283,374326,589094
50,4065261,123255281,475328,611438
51,3988327,123454600,276009,688372
52,4052766,123392582,338027,623933
53,4127314,123310801,419808,549385
54,4138874,123289664,440945,537825
55,3892035,123492516,238093,784664
56,4072966,123406668,323941,603733
57,4064778,123359339,371270,611921
58,4064159,123417287,313322,612540
59,4135975,123317245,413364,540724
60,4030476,123410683,319926,646223
