Epoch,AUC
1,0.811679448671172
2,0.8890128369154385
3,0.9283605584684763
4,0.9445929305771729
5,0.9588173408284837
6,0.9653769729661397
7,0.9775864710451301
8,0.9775575366354956
9,0.9704155946874853
10,0.9830624088597928
11,0.9829643413623252
12,0.9854442879547625
13,0.988251263135123
14,0.9883777833323089
15,0.988063951449366
16,0.9878854532707873
17,0.9902989613802214
18,0.9895270790959798
19,0.9891497817302363
20,0.9865546748559008
21,0.9907543393555204
22,0.9916812062705224
23,0.9911272156707077
24,0.9924189449150684
25,0.9922128000658886
26,0.9915365571968664
27,0.9929382173132225
28,0.9926287374705511
29,0.9931823952172553
30,0.9938833908447217
